reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b2,10.4324/9780203522653,2013-07-24,Virtue Ethics And Confucianism,https://w3id.org/oc/meta/id/06680342470,https://w3id.org/oc/meta/ar/0624011236107,,,http://purl.org/spar/fabio/Expression
b5,10.1093/aesthj/ayn019,2008-07-01,"Beautiful People, Beautiful Things",https://w3id.org/oc/meta/id/06660779709,https://w3id.org/oc/meta/ar/062603724741,https://w3id.org/oc/meta/re/06260665754,https://w3id.org/oc/meta/br/06260880787,http://purl.org/spar/fabio/JournalArticle
b8,10.1177/1477878517695903,2017-03,Educating Through Exemplars: Alternative Paths To Virtue,https://w3id.org/oc/meta/id/06570935442,https://w3id.org/oc/meta/ar/06501695728,https://w3id.org/oc/meta/re/0650288660,https://w3id.org/oc/meta/br/0650434175,http://purl.org/spar/fabio/JournalArticle
b9,10.1080/03057240.2017.1396966,2018-01-08,Exemplars And Nudges: Combining Two Strategies For Moral Education,https://w3id.org/oc/meta/id/0686070988,https://w3id.org/oc/meta/ar/0623010191832,https://w3id.org/oc/meta/re/062301872806,https://w3id.org/oc/meta/br/062302376692,http://purl.org/spar/fabio/JournalArticle
b10,10.1080/09552360120048843,2001-03,"Confucius, Gandhi And The Aesthetics Of Virtue",https://w3id.org/oc/meta/id/06580422765,https://w3id.org/oc/meta/ar/06120825145,https://w3id.org/oc/meta/re/06120145058,https://w3id.org/oc/meta/br/06120234076,http://purl.org/spar/fabio/JournalArticle
b11,10.1353/pew.2001.0022,2001,The Dancing Ru: A Confucian Aesthetics Of Virtue,https://w3id.org/oc/meta/id/061302686237,https://w3id.org/oc/meta/ar/0613011785424,https://w3id.org/oc/meta/re/061302160143,https://w3id.org/oc/meta/br/061302769365,http://purl.org/spar/fabio/JournalArticle
b12,10.4324/9781315708508,2017-11-14,A Theory Of Moral Education,https://w3id.org/oc/meta/id/06204844,https://w3id.org/oc/meta/ar/0618010064632,,,http://purl.org/spar/fabio/Expression
b13,10.1017/s0034412515000578,2015-12-28,"Beauty, Virtue, And Religious Exemplars",https://w3id.org/oc/meta/id/06940754889,https://w3id.org/oc/meta/ar/06307111795,https://w3id.org/oc/meta/re/06301335293,https://w3id.org/oc/meta/br/06301622050,http://purl.org/spar/fabio/JournalArticle
b15,10.1080/09552360600772736,2006-07,Confucius's Aesthetic Concept Of Noble Man: Beyond Moralism,https://w3id.org/oc/meta/id/06580422771,https://w3id.org/oc/meta/ar/06120826117,https://w3id.org/oc/meta/re/06120145522,https://w3id.org/oc/meta/br/06120234185,http://purl.org/spar/fabio/JournalArticle
b16,10.1080/02549948.1998.11731311,1998-01,"The Aesthetic Moral Personality:Li, Yi, Wen, andChihin theAnalects",https://w3id.org/oc/meta/id/06280524972,https://w3id.org/oc/meta/ar/0614013685677,https://w3id.org/oc/meta/re/061402464486,https://w3id.org/oc/meta/br/061403320486,http://purl.org/spar/fabio/JournalArticle
b19,10.1007/978-3-319-43893-1_10,2017,Thinking Through An Embodied Confucian Aesthetics Of Persons,https://w3id.org/oc/meta/id/06620481069,https://w3id.org/oc/meta/ar/068011853897,https://w3id.org/oc/meta/re/06802028830,https://w3id.org/oc/meta/br/0621056039,http://purl.org/spar/fabio/BookChapter
b22,10.1057/9781137303394,2013,A Reader’s Companion To The Confucian Analects,https://w3id.org/oc/meta/id/065301317778,https://w3id.org/oc/meta/ar/0623011451156,,,http://purl.org/spar/fabio/Expression
b23,10.1111/j.1467-8527.2005.00295.x,2005-09,Of Manners And Morals,https://w3id.org/oc/meta/id/06130911638,https://w3id.org/oc/meta/ar/061303713538,https://w3id.org/oc/meta/re/06130672973,https://w3id.org/oc/meta/br/06130860948,http://purl.org/spar/fabio/JournalArticle
b25,10.5840/logos-episteme20167445,2016,Teaching Virtue,https://w3id.org/oc/meta/id/061704802532,https://w3id.org/oc/meta/ar/061503614414,https://w3id.org/oc/meta/re/06150659222,https://w3id.org/oc/meta/br/06150849882,http://purl.org/spar/fabio/JournalArticle
b26,10.5406/jaesteduc.49.1.0068,2015,Confucius On The Relationship Of Beauty And Goodness,https://w3id.org/oc/meta/id/06960149125,https://w3id.org/oc/meta/ar/06706095543,https://w3id.org/oc/meta/re/06701156392,https://w3id.org/oc/meta/br/06701416849,http://purl.org/spar/fabio/JournalArticle
b28,10.1093/acprof:oso/9780190655846.001.0001,2017-04-27,Exemplarist Moral Theory,https://w3id.org/oc/meta/id/062405144501,https://w3id.org/oc/meta/ar/061709844837,,,http://purl.org/spar/fabio/Expression
