reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b21,10.1002/2013jd021427,2014-04-17,Evaluations Of Atmospheric Downward Longwave Radiation From 44 Coupled General Circulation Models Of CMIP5,https://w3id.org/oc/meta/id/06702244544,https://w3id.org/oc/meta/ar/067010247337,https://w3id.org/oc/meta/re/06701759198,https://w3id.org/oc/meta/br/06702346927,http://purl.org/spar/fabio/JournalArticle
b23,10.1007/s007040200019,2002-09-01,Altitude Dependence Of Surface Radiation Fluxes And Cloud Forcing In The Alps: Results From The Alpine Surface Radiation Budget Network,https://w3id.org/oc/meta/id/062202408587,https://w3id.org/oc/meta/ar/0622010537410,https://w3id.org/oc/meta/re/062201946762,https://w3id.org/oc/meta/br/062202438954,http://purl.org/spar/fabio/JournalArticle
b24,10.5194/acp-5-1855-2005,2005-07-26,Technical Note: The libRadtran Software Package For Radiative Transfer Calculations - Description And Examples Of Use,https://w3id.org/oc/meta/id/064901177698,https://w3id.org/oc/meta/ar/062507908557,https://w3id.org/oc/meta/re/062501464428,https://w3id.org/oc/meta/br/0614037412,http://purl.org/spar/fabio/JournalArticle
b26,10.1175/jamc-d-12-0189.1,2013-04,A Climatology Of Surface Cloud Radiative Effects At The ARM Tropical Western Pacific Sites,https://w3id.org/oc/meta/id/06502291436,https://w3id.org/oc/meta/ar/065010255879,https://w3id.org/oc/meta/re/06501794549,https://w3id.org/oc/meta/br/06502393635,http://purl.org/spar/fabio/JournalArticle
b27,10.1175/jtech-d-11-00216.1,2012-11-01,Accounting For The Solar Radiation Influence On Downward Longwave Irradiance Measurements By Pyrgeometers,https://w3id.org/oc/meta/id/06606022271,https://w3id.org/oc/meta/ar/061501563770,https://w3id.org/oc/meta/re/06150271233,https://w3id.org/oc/meta/br/06150410790,http://purl.org/spar/fabio/JournalArticle
b28,10.1029/2005jd006043,2006,"Comparison Of GPS And ERA40 IWV In The Alpine Region, Including Correction Of GPS Observations At Jungfraujoch (3584 M)",https://w3id.org/oc/meta/id/06560831829,https://w3id.org/oc/meta/ar/06150996025,,https://w3id.org/oc/meta/br/06150283095,http://purl.org/spar/fabio/JournalArticle
b29,10.1029/2005gl024079,2005,A 10-Year Integrated Atmospheric Water Vapor Record Using Precision Filter Radiometers At Two High-Alpine Sites,https://w3id.org/oc/meta/id/061602726382,https://w3id.org/oc/meta/ar/0616011935179,,https://w3id.org/oc/meta/br/061602822619,http://purl.org/spar/fabio/JournalArticle
b30,10.1029/2012jd017493,2012-09-19,Ground-based Aerosol Optical Depth Trends At Three High-Altitude Sites In Switzerland And Southern Germany From 1995 To 2010,https://w3id.org/oc/meta/id/0680350842,https://w3id.org/oc/meta/ar/0680988574,,https://w3id.org/oc/meta/br/0680289275,http://purl.org/spar/fabio/JournalArticle
b31,10.5194/amt-10-3057-2017,2017-08-23,Revising Shortwave And Longwave Radiation Archives In View Of Possible Revisions Of The WSG And WISG Reference Scales: Methods And Implications,https://w3id.org/oc/meta/id/06102177080,https://w3id.org/oc/meta/ar/06109761688,https://w3id.org/oc/meta/re/06101714450,https://w3id.org/oc/meta/br/06102290976,http://purl.org/spar/fabio/JournalArticle
b32,10.1175/jcli-d-15-0476.1,2016-05-24,Influence Of Synoptic Weather Patterns On Solar Irradiance Variability In Northern Europe,https://w3id.org/oc/meta/id/061401073150,https://w3id.org/oc/meta/ar/061404487133,https://w3id.org/oc/meta/re/06140819674,https://w3id.org/oc/meta/br/061401022116,http://purl.org/spar/fabio/JournalArticle
