reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type
b27,10.1016/j.enpol.2015.11.017,2016-02,Is Rooftop Solar PV At Socket Parity Without Subsidies?,https://w3id.org/oc/meta/id/06702366031,https://w3id.org/oc/meta/ar/067010820363,https://w3id.org/oc/meta/re/06701857612,https://w3id.org/oc/meta/br/06702466605,http://purl.org/spar/fabio/JournalArticle
b28,10.1016/j.energy.2016.04.089,2016-07,Economic And Environmental Assessment Of Rooftops Regarding Suitability For Photovoltaic Systems Installation Based On Remote Sensing Data,https://w3id.org/oc/meta/id/0660735309,https://w3id.org/oc/meta/ar/06602771760,https://w3id.org/oc/meta/re/0660503408,https://w3id.org/oc/meta/br/0660675852,http://purl.org/spar/fabio/JournalArticle
b31,10.1016/j.enpol.2017.05.052,2017-09,Solar PV Where The Sun Doesn’T Shine: Estimating The Economic Impacts Of Support Schemes For Residential PV With Detailed Net Demand Profiling,https://w3id.org/oc/meta/id/06540751091,https://w3id.org/oc/meta/ar/066010843015,https://w3id.org/oc/meta/re/06601869243,https://w3id.org/oc/meta/br/06602486591,http://purl.org/spar/fabio/JournalArticle
b34,10.3390/en8065159,2015-06-02,"Estimating PV Module Performance Over Large Geographical Regions: The Role Of Irradiance, Air Temperature, Wind Speed And Solar Spectrum",https://w3id.org/oc/meta/id/06101669380,https://w3id.org/oc/meta/ar/06107152959,https://w3id.org/oc/meta/re/06101364052,https://w3id.org/oc/meta/br/06101650027,http://purl.org/spar/fabio/JournalArticle
b38,10.1016/j.solener.2016.12.014,2017-01,PVMAPS: Software Tools And Data For The Estimation Of Solar Radiation And Photovoltaic Module Performance Over Large Geographical Areas,https://w3id.org/oc/meta/id/06201326012,https://w3id.org/oc/meta/ar/06205569869,https://w3id.org/oc/meta/re/06201048147,https://w3id.org/oc/meta/br/06201284693,http://purl.org/spar/fabio/JournalArticle
b39,10.1002/pip.1182,2011-10-13,Photovoltaic Degradation Rates-an Analytical Review,https://w3id.org/oc/meta/id/061601013097,https://w3id.org/oc/meta/ar/061604097149,https://w3id.org/oc/meta/re/06160760266,https://w3id.org/oc/meta/br/0622019673,http://purl.org/spar/fabio/JournalArticle
b40,10.1016/j.energy.2018.04.166,2018-07,Envisioning A Low-Cost Solar Future: Exploring The Potential Impact Of Achieving The SunShot 2030 Targets For Photovoltaics,https://w3id.org/oc/meta/id/06450984016,https://w3id.org/oc/meta/ar/06202847956,https://w3id.org/oc/meta/re/0620499420,https://w3id.org/oc/meta/br/066012596,http://purl.org/spar/fabio/JournalArticle
b42,10.1016/j.energy.2016.12.093,2017-01,A Worldwide Assessment Of Economic Feasibility Of HCPV Power Plants: Profitability And Competitiveness,https://w3id.org/oc/meta/id/0650736424,https://w3id.org/oc/meta/ar/06502784998,https://w3id.org/oc/meta/re/0650505487,https://w3id.org/oc/meta/br/0650676057,http://purl.org/spar/fabio/JournalArticle
b45,10.1002/pip.1254,2012-02-17,Global Overview On Grid-Parity,https://w3id.org/oc/meta/id/061601013009,https://w3id.org/oc/meta/ar/061604096602,https://w3id.org/oc/meta/re/06160760202,https://w3id.org/oc/meta/br/0622019673,http://purl.org/spar/fabio/JournalArticle
b46,10.1016/j.renene.2014.10.053,2015-03,WACC The Dog: The Effect Of Financing Costs On The Levelized Cost Of Solar PV Power,https://w3id.org/oc/meta/id/06890708832,https://w3id.org/oc/meta/ar/061502263329,https://w3id.org/oc/meta/re/06150405704,https://w3id.org/oc/meta/br/06150560467,http://purl.org/spar/fabio/JournalArticle
b50,10.1016/j.rser.2017.03.117,2017-09,A Methodology For Maximizing The Benefits Of Solar Landfills On Closed Sites,https://w3id.org/oc/meta/id/062801110400,https://w3id.org/oc/meta/ar/061504074497,https://w3id.org/oc/meta/re/06150753327,https://w3id.org/oc/meta/br/0614018262,http://purl.org/spar/fabio/JournalArticle
b51,10.3390/su11133703,2019-07-05,Solar Photovoltaic Electricity Generation: A Lifeline For The European Coal Regions In Transition,https://w3id.org/oc/meta/id/061801957023,https://w3id.org/oc/meta/ar/061808405782,https://w3id.org/oc/meta/re/061801608799,https://w3id.org/oc/meta/br/061801938095,http://purl.org/spar/fabio/JournalArticle
b54,10.1108/so-05-2015-0013,2016-06-20,HR Outsourcing Trends In Malaysia: The Undetected Tiger,https://w3id.org/oc/meta/id/062601133077,https://w3id.org/oc/meta/ar/062604722396,https://w3id.org/oc/meta/re/06260873406,https://w3id.org/oc/meta/br/062601108433,http://purl.org/spar/fabio/JournalArticle
b55,10.1016/j.rser.2018.09.001,2018-12,Cost-efficiency Benchmarking Of European Renewable Electricity Support Schemes,https://w3id.org/oc/meta/id/06140996738,https://w3id.org/oc/meta/ar/061404128920,https://w3id.org/oc/meta/re/06140749241,https://w3id.org/oc/meta/br/0614018261,http://purl.org/spar/fabio/JournalArticle
b60,10.3390/rs4030622,2012-03-02,A New Algorithm For The Satellite-Based Retrieval Of Solar Surface Irradiance In Spectral Bands,https://w3id.org/oc/meta/id/06950698868,https://w3id.org/oc/meta/ar/062308014301,https://w3id.org/oc/meta/re/062301497062,https://w3id.org/oc/meta/br/062301821809,http://purl.org/spar/fabio/JournalArticle
