reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1038/nature01092,2002-09-12,Constraints On Future Changes In Climate And The Hydrologic Cycle,https://w3id.org/oc/meta/id/061105230333,https://w3id.org/oc/meta/ar/061201337830,https://w3id.org/oc/meta/re/06120234995,https://w3id.org/oc/meta/br/0626015828,http://purl.org/spar/fabio/JournalArticle,Constraints on future changes in climate and the hydrologic cycle,Constraints On Future Changes In Climate And The Hydrologic Cycle,70,10.1038/nature01092,https://w3id.org/oc/meta/br/06120352738,author_title
ref_2,10.1214/aoms/1177705688,1960-12,Rank-Sum Tests For Dispersions,https://w3id.org/oc/meta/id/06901557424,https://w3id.org/oc/meta/ar/06906649299,https://w3id.org/oc/meta/re/06901253732,https://w3id.org/oc/meta/br/067033150,http://purl.org/spar/fabio/JournalArticle,Rank-sum tests for dispersions,Rank-Sum Tests For Dispersions,70,10.1214/aoms/1177705688,https://w3id.org/oc/meta/br/06901531828,author_title
ref_3,10.1007/bf02368250,1994-07,Evaluating Rescaled Range Analysis For Time Series,https://w3id.org/oc/meta/id/0657010185,https://w3id.org/oc/meta/ar/062405869796,https://w3id.org/oc/meta/re/062401101160,https://w3id.org/oc/meta/br/062401345677,http://purl.org/spar/fabio/JournalArticle,Evaluating rescaled range analysis for time series,Evaluating Rescaled Range Analysis For Time Series,70,10.1007/bf02368250,https://w3id.org/oc/meta/br/062401345326,author_title
ref_4,10.1029/2002wr001846,2003-04,Adjusting Measured Peak Discharges From An Urbanizing Watershed To Reflect A Stationary Land Use Signal,https://w3id.org/oc/meta/id/063301033862,https://w3id.org/oc/meta/ar/062404522539,,https://w3id.org/oc/meta/br/062401038549,http://purl.org/spar/fabio/JournalArticle,Adjusting measured peak discharges from an urbanizing watershed to reflect a stationary land use signal,Adjusting Measured Peak Discharges From An Urbanizing Watershed To Reflect A Stationary Land Use Signal,70,10.1029/2002wr001846,https://w3id.org/oc/meta/br/062401038293,author_title
ref_5,10.1080/00401706.1974.10489158,1974-02,The Small Sample Behavior Of Some Statistics Which Test The Equality Of Several Means,https://w3id.org/oc/meta/id/06570163272,https://w3id.org/oc/meta/ar/06204902143,https://w3id.org/oc/meta/re/0620908423,https://w3id.org/oc/meta/br/0623025402,http://purl.org/spar/fabio/JournalArticle,The small sample behavior of some statistics which test the equality of several means,The Small Sample Behavior Of Some Statistics Which Test The Equality Of Several Means,70,10.1080/00401706.1974.10489158,https://w3id.org/oc/meta/br/06201130758,author_title
ref_6,10.1016/0022-1694(84)90032-5,1984-07,Tests For Detecting A Shift In The Mean Of Hydrological Time Series,https://w3id.org/oc/meta/id/06670607895,https://w3id.org/oc/meta/ar/067013388115,https://w3id.org/oc/meta/re/06702275734,https://w3id.org/oc/meta/br/063052660,http://purl.org/spar/fabio/JournalArticle,Tests for detecting a shift in the mean of hydrological time series,Tests For Detecting A Shift In The Mean Of Hydrological Time Series,70,10.1016/0022-1694(84)90032-5,https://w3id.org/oc/meta/br/06703143109,author_title
ref_8,10.1007/s10584-014-1254-5,2014-09-24,Non-stationary Extreme Value Analysis In A Changing Climate,https://w3id.org/oc/meta/id/06306138706,https://w3id.org/oc/meta/ar/062501807472,https://w3id.org/oc/meta/re/06250312395,https://w3id.org/oc/meta/br/06250460478,http://purl.org/spar/fabio/JournalArticle,Non-stationary extreme value analysis in a changing climate,Non-stationary Extreme Value Analysis In A Changing Climate,70,10.1007/s10584-014-1254-5,https://w3id.org/oc/meta/br/06250459532,author_title
ref_10,10.1029/2003wr002456,2004-01,Multivariate Hydrological Frequency Analysis Using Copulas,https://w3id.org/oc/meta/id/062401090847,https://w3id.org/oc/meta/ar/062404520844,,https://w3id.org/oc/meta/br/063022935,http://purl.org/spar/fabio/JournalArticle,Multivariate hydrological frequency analysis using copulas,Multivariate Hydrological Frequency Analysis Using Copulas,70,10.1029/2003wr002456,https://w3id.org/oc/meta/br/062401037848,author_title
ref_11,10.1007/s00382-013-2026-z,2014-01-03,Cause Of Severe Droughts In Southwest China During 1951–2010,https://w3id.org/oc/meta/id/062101707101,https://w3id.org/oc/meta/ar/062107504540,https://w3id.org/oc/meta/re/062101390577,https://w3id.org/oc/meta/br/062101680070,http://purl.org/spar/fabio/JournalArticle,Cause of severe droughts in Southwest China during 1951–2010,Cause Of Severe Droughts In Southwest China During 1951–2010,70,10.1007/s00382-013-2026-z,https://w3id.org/oc/meta/br/062101679357,author_title
ref_13,10.1016/j.gloplacha.2012.10.014,2013-01,Analysis Of Changes In Meteorological Variables Using Mann-Kendall And Sen's Slope Estimator Statistical Tests In Serbia,https://w3id.org/oc/meta/id/0692084384,https://w3id.org/oc/meta/ar/061909517428,https://w3id.org/oc/meta/re/061901781477,https://w3id.org/oc/meta/br/061902167434,http://purl.org/spar/fabio/JournalArticle,Analysis of changes in meteorological variables using Mann-Kendall and Sen's slope estimator statistical tests in Serbia,Analysis Of Changes In Meteorological Variables Using Mann-Kendall And Sen's Slope Estimator Statistical Tests In Serbia,70,10.1016/j.gloplacha.2012.10.014,https://w3id.org/oc/meta/br/061902166470,author_title
ref_14,10.1002/2016wr020218,2017-07,Temporal Information Partitioning Networks (TIPNets): A Process Network Approach To Infer Ecohydrologic Shifts,https://w3id.org/oc/meta/id/06530603057,https://w3id.org/oc/meta/ar/06704470327,https://w3id.org/oc/meta/re/0670841243,https://w3id.org/oc/meta/br/06701059338,http://purl.org/spar/fabio/JournalArticle,Temporal information partitioning networks (tipnets): a process network approach to infer ecohydrologic shifts,Temporal Information Partitioning Networks (TIPNets): A Process Network Approach To Infer Ecohydrologic Shifts,70,10.1002/2016wr020218,https://w3id.org/oc/meta/br/06701058534,author_title
ref_17,10.1002/hyp.11087,2017-01-31,Development Of Spatial Regression Models For Predicting Summer River Temperatures From Landscape Characteristics: Implications For Land And Fisheries Management,https://w3id.org/oc/meta/id/06503384731,https://w3id.org/oc/meta/ar/065015149753,https://w3id.org/oc/meta/re/06502605161,https://w3id.org/oc/meta/br/06503732352,http://purl.org/spar/fabio/JournalArticle,Development of spatial regression models for predicting summer river temperatures from landscape characteristics: implications for land and fisheries management,Development Of Spatial Regression Models For Predicting Summer River Temperatures From Landscape Characteristics: Implications For Land And Fisheries Management,65,10.1002/hyp.11087,https://w3id.org/oc/meta/br/06503732233,author_title
ref_18,10.1016/j.jhydrol.2016.04.043,2016-07,Abrupt Change Point Detection Of Annual Maximum Precipitation Using Fused Lasso,https://w3id.org/oc/meta/id/062602661491,https://w3id.org/oc/meta/ar/0626011600321,https://w3id.org/oc/meta/re/062602128353,https://w3id.org/oc/meta/br/062602769300,http://purl.org/spar/fabio/JournalArticle,Abrupt change point detection of annual maximum precipitation using fused lasso,Abrupt Change Point Detection Of Annual Maximum Precipitation Using Fused Lasso,70,10.1016/j.jhydrol.2016.04.043,https://w3id.org/oc/meta/br/062602768425,author_title
ref_19,10.1007/s11069-015-1679-9,2015-03-13,Increase In Flood And Drought Disasters During 1500–2000 In Southwest China,https://w3id.org/oc/meta/id/06210429424,https://w3id.org/oc/meta/ar/062101414861,https://w3id.org/oc/meta/re/06210238841,https://w3id.org/oc/meta/br/06210367650,http://purl.org/spar/fabio/JournalArticle,Increase in flood and drought disasters during 1500–2000 in Southwest China,Increase In Flood And Drought Disasters During 1500–2000 In Southwest China,70,10.1007/s11069-015-1679-9,https://w3id.org/oc/meta/br/06210367309,author_title
ref_20,10.1016/j.jhydrol.2016.03.065,2016-07,Bayesian Analysis To Detect Abrupt Changes In Extreme Hydrological Processes,https://w3id.org/oc/meta/id/062602661547,https://w3id.org/oc/meta/ar/0626011600607,https://w3id.org/oc/meta/re/062602128409,https://w3id.org/oc/meta/br/062602769300,http://purl.org/spar/fabio/JournalArticle,Bayesian analysis to detect abrupt changes in extreme hydrological processes,Bayesian Analysis To Detect Abrupt Changes In Extreme Hydrological Processes,70,10.1016/j.jhydrol.2016.03.065,https://w3id.org/oc/meta/br/062602768481,author_title
ref_25,10.1016/j.jhydrol.2014.04.036,2014-06,Methods For Detecting Change In Hydrochemical Time Series In Response To Targeted Pollutant Mitigation In River Catchments,https://w3id.org/oc/meta/id/06102947466,https://w3id.org/oc/meta/ar/061013159971,https://w3id.org/oc/meta/re/06102296433,https://w3id.org/oc/meta/br/06103175909,http://purl.org/spar/fabio/JournalArticle,Methods for detecting change in hydrochemical time series in response to targeted pollutant mitigation in river catchments,Methods For Detecting Change In Hydrochemical Time Series In Response To Targeted Pollutant Mitigation In River Catchments,70,10.1016/j.jhydrol.2014.04.036,https://w3id.org/oc/meta/br/06103175683,author_title
ref_26,10.5194/hess-17-3189-2013,2013-08-12,"Non-stationary Flood Frequency Analysis In Continental Spanish Rivers, Using Climate And Reservoir Indices As External Covariates",https://w3id.org/oc/meta/id/06902116962,https://w3id.org/oc/meta/ar/06909295313,https://w3id.org/oc/meta/re/06901733738,https://w3id.org/oc/meta/br/06902109814,http://purl.org/spar/fabio/JournalArticle,"Non-stationary flood frequency analysis in continental Spanish rivers, using climate and reservoir indices as external covariates","Non-stationary Flood Frequency Analysis In Continental Spanish Rivers, Using Climate And Reservoir Indices As External Covariates",70,10.5194/hess-17-3189-2013,https://w3id.org/oc/meta/br/06902109649,author_title
ref_28,10.1080/02626667.2015.1008482,2015-12-09,A Simulation Study To Examine The Sensitivity Of The Pettitt Test To Detect Abrupt Changes In Mean,https://w3id.org/oc/meta/id/06670724490,https://w3id.org/oc/meta/ar/06902404395,https://w3id.org/oc/meta/re/0690423524,https://w3id.org/oc/meta/br/0690593782,http://purl.org/spar/fabio/JournalArticle,A simulation study to examine the sensitivity of the Pettitt test to detect abrupt changes in mean,A Simulation Study To Examine The Sensitivity Of The Pettitt Test To Detect Abrupt Changes In Mean,65,10.1080/02626667.2015.1008482,https://w3id.org/oc/meta/br/0690592918,author_title
ref_29,10.1029/wr005i005p00967,1969-10,Robustness Of The Rescaled Range R/S In The Measurement Of Noncyclic Long Run Statistical Dependence,https://w3id.org/oc/meta/id/061701110114,https://w3id.org/oc/meta/ar/061704539931,https://w3id.org/oc/meta/re/06170844013,https://w3id.org/oc/meta/br/063022778,http://purl.org/spar/fabio/JournalArticle,Robustness of the rescaled range R/S in the measurement of noncyclic long run statistical dependence,Robustness Of The Rescaled Range R/S In The Measurement Of Noncyclic Long Run Statistical Dependence,70,10.1029/wr005i005p00967,https://w3id.org/oc/meta/br/061701064504,author_title
