reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_1,10.1063/1.1554135,2003-01,The Atmospheric Radiation Measurement Program,https://w3id.org/oc/meta/id/06950908768,https://w3id.org/oc/meta/ar/06209253135,https://w3id.org/oc/meta/re/06201622062,https://w3id.org/oc/meta/br/065038877,http://purl.org/spar/fabio/JournalArticle,,The Atmospheric Radiation Measurement Program,70,10.1063/1.1554135,https://w3id.org/oc/meta/br/06202172550,author_title
ref_6,10.1029/wr011i005p00742,1975-10,On A Derivable Formula For Long-Wave Radiation From Clear Skies,https://w3id.org/oc/meta/id/06930278312,https://w3id.org/oc/meta/ar/061604525809,https://w3id.org/oc/meta/re/06160851432,https://w3id.org/oc/meta/br/063022826,http://purl.org/spar/fabio/JournalArticle,,On A Derivable Formula For Long-Wave Radiation From Clear Skies,70,10.1029/wr011i005p00742,https://w3id.org/oc/meta/br/061601066851,author_title
ref_20,10.1016/0038-092x(78)90187-1,1978,The Spectral Distribution Of Solar Radiation At The Earth'S Surface—Elements Of A Model,https://w3id.org/oc/meta/id/061304796827,https://w3id.org/oc/meta/ar/06605537980,https://w3id.org/oc/meta/re/06601040080,https://w3id.org/oc/meta/br/069035577,http://purl.org/spar/fabio/JournalArticle,,The Spectral Distribution Of Solar Radiation At The Earth'S Surface—Elements Of A Model,70,10.1016/0038-092x(78)90187-1,https://w3id.org/oc/meta/br/06601284284,author_title
ref_21,10.1029/2008jd009936,2008-09-30,A Method For Continuous Estimation Of Clear-Sky Downwelling Longwave Radiative Flux Developed Using ARM Surface Measurements,https://w3id.org/oc/meta/id/0665026851,https://w3id.org/oc/meta/ar/062201030465,,https://w3id.org/oc/meta/br/06220278541,http://purl.org/spar/fabio/JournalArticle,,A Method For Continuous Estimation Of Clear-Sky Downwelling Longwave Radiative Flux Developed Using ARM Surface Measurements,70,10.1029/2008jd009936,https://w3id.org/oc/meta/br/06220277989,author_title
ref_24,10.1007/s007040200019,2002-09-01,Altitude Dependence Of Surface Radiation Fluxes And Cloud Forcing In The Alps: Results From The Alpine Surface Radiation Budget Network,https://w3id.org/oc/meta/id/062202408587,https://w3id.org/oc/meta/ar/0622010537410,https://w3id.org/oc/meta/re/062201946762,https://w3id.org/oc/meta/br/062202438954,http://purl.org/spar/fabio/JournalArticle,,Altitude Dependence Of Surface Radiation Fluxes And Cloud Forcing In The Alps: Results From The Alpine Surface Radiation Budget Network,70,10.1007/s007040200019,https://w3id.org/oc/meta/br/062202438575,author_title
ref_38,10.1029/2005gl023624,2005-10,Anthropogenic Greenhouse Forcing And Strong Water Vapor Feedback Increase Temperature In Europe,https://w3id.org/oc/meta/id/061602726636,https://w3id.org/oc/meta/ar/0616011936274,,https://w3id.org/oc/meta/br/061602822621,http://purl.org/spar/fabio/JournalArticle,,Anthropogenic Greenhouse Forcing And Strong Water Vapor Feedback Increase Temperature In Europe,70,10.1029/2005gl023624,https://w3id.org/oc/meta/br/061602822355,author_title
ref_39,10.1002/qj.49712253306,1996-07,A New Long-Wave Formula For Estimating Downward Clear-Sky Radiation At The Surface,https://w3id.org/oc/meta/id/061601245495,https://w3id.org/oc/meta/ar/061605151960,https://w3id.org/oc/meta/re/06160980750,https://w3id.org/oc/meta/br/0612025617,http://purl.org/spar/fabio/JournalArticle,,A New Long-Wave Formula For Estimating Downward Clear-Sky Radiation At The Surface,70,10.1002/qj.49712253306,https://w3id.org/oc/meta/br/061601207462,author_title
ref_42,10.1126/science.1064034,2001-12-07,"Aerosols, Climate, And The Hydrological Cycle",https://w3id.org/oc/meta/id/06603989473,https://w3id.org/oc/meta/ar/0617013949781,https://w3id.org/oc/meta/re/061702526454,https://w3id.org/oc/meta/br/06290415173,http://purl.org/spar/fabio/JournalArticle,,"Aerosols, Climate, And The Hydrological Cycle",70,10.1126/science.1064034,https://w3id.org/oc/meta/br/061703512070,author_title
ref_44,10.1029/2006jd007850,2007-02-02,"Observed Relationship Between Surface Specific Humidity, Integrated Water Vapor, And Longwave Downward Radiation At Different Altitudes",https://w3id.org/oc/meta/id/061605468310,https://w3id.org/oc/meta/ar/061301020911,,https://w3id.org/oc/meta/br/06908410,http://purl.org/spar/fabio/JournalArticle,,"Observed Relationship Between Surface Specific Humidity, Integrated Water Vapor, And Longwave Downward Radiation At Different Altitudes",70,10.1029/2006jd007850,https://w3id.org/oc/meta/br/06130279947,author_title
ref_49,10.1063/1.4804859,2013,Trends In Surface Radiation And Cloud Radiative Effect Over Switzerland In The Past 15 Years,https://w3id.org/oc/meta/id/06203123750,https://w3id.org/oc/meta/ar/062013857129,,https://w3id.org/oc/meta/br/06203363036,http://purl.org/spar/fabio/ProceedingsPaper,,Trends In Surface Radiation And Cloud Radiative Effect Over Switzerland In The Past 15 Years,70,10.1063/1.4804859,https://w3id.org/oc/meta/br/06203362045,author_title
ref_55,10.1002/joc.906,2003-05,Homogeneity Of 20Th Century European Daily Temperature And Precipitation Series,https://w3id.org/oc/meta/id/06890101333,https://w3id.org/oc/meta/ar/062305750640,https://w3id.org/oc/meta/re/062301089498,https://w3id.org/oc/meta/br/062503505958,http://purl.org/spar/fabio/JournalArticle,,Homogeneity Of 20Th Century European Daily Temperature And Precipitation Series,70,10.1002/joc.906,https://w3id.org/oc/meta/br/062301347342,author_title
ref_57,10.1029/2008jd011470,2009-06-27,Global Dimming And Brightening: A Review,https://w3id.org/oc/meta/id/06190350391,https://w3id.org/oc/meta/ar/061901018939,,https://w3id.org/oc/meta/br/069010240,http://purl.org/spar/fabio/JournalArticle,,Global Dimming And Brightening: A Review,70,10.1029/2008jd011470,https://w3id.org/oc/meta/br/06190286494,author_title
ref_59,10.1063/1.4975554,2017,Changes In Shortwave And Longwave Radiative Fluxes As Observed At BSRN Sites And Simulated With CMIP5 Models,https://w3id.org/oc/meta/id/06630656696,https://w3id.org/oc/meta/ar/0612010718945,,https://w3id.org/oc/meta/br/061202463354,http://purl.org/spar/fabio/ProceedingsPaper,,Changes In Shortwave And Longwave Radiative Fluxes As Observed At BSRN Sites And Simulated With CMIP5 Models,65,10.1063/1.4975554,https://w3id.org/oc/meta/br/061202462426,author_title
