reference_id,article_title,matched_title,score,matched_doi,meta_id,query_type
b0,The Atmospheric Radiation Measurement Program,The Atmospheric Radiation Measurement Program,70,10.1063/1.1554135,https://w3id.org/oc/meta/br/06202172550,author_title
b1,"Cloud radiative effect, cloud fraction and cloud type at two stations in Switzerland using hemispherical sky cameras","Cloud Radiative Effect, Cloud Fraction And Cloud Type At Two Stations In Switzerland Using Hemispherical Sky Cameras",70,10.5194/amt-10-4587-2017,https://w3id.org/oc/meta/br/06102290747,author_title
b2,Cloud fraction determined by thermal infrared and visible all-sky cameras,Cloud Fraction Determined By Thermal Infrared And Visible All-Sky Cameras,70,10.5194/amt-11-5549-2018,https://w3id.org/oc/meta/br/06102290397,author_title
b5,On a derivable formula for long-wave radiation from clear skies,On A Derivable Formula For Long-Wave Radiation From Clear Skies,70,10.1029/wr011i005p00742,https://w3id.org/oc/meta/br/061601066851,author_title
b6,Baseline Surface Radiation Network (BSRN): structure and data description (1992–2017),Baseline Surface Radiation Network (BSRN): Structure And Data Description (1992–2017),70,10.5194/essd-10-1491-2018,https://w3id.org/oc/meta/br/06301827699,author_title
b8,Automatic cloud amount detection by surface longwave downward radiation measurements,Automatic Cloud Amount Detection By Surface Longwave Downward Radiation Measurements,70,10.1029/2003jd004182,https://w3id.org/oc/meta/br/06190288457,author_title
b11,N/A,Statistical Methods For Environmental Pollution Monitoring.,65,10.2307/2290180,https://w3id.org/oc/meta/br/06201498266,author_title
b13,Effective atmospheric boundary layer temperature from longwave radiation measurements,Effective Atmospheric Boundary Layer Temperature From Longwave Radiation Measurements,70,10.1029/2009jd012274,https://w3id.org/oc/meta/br/06180285200,author_title
b14,A new absolute reference for atmospheric longwave irradiance measurements with traceability to SI units,A New Absolute Reference For Atmospheric Longwave Irradiance Measurements With Traceability To SI Units,70,10.1002/2014jd021630,https://w3id.org/oc/meta/br/06702346152,author_title
b16,Uncertainties of parameterized surface downward clear-sky shortwave and all-sky longwave radiation,Uncertainties Of Parameterized Surface Downward Clear-Sky Shortwave And All-Sky Longwave Radiation.,70,10.5194/acp-12-5077-2012,https://w3id.org/oc/meta/br/062201754743,author_title
b19,The spectral distribution of solar radiation at the earth's surface—elements of a model,The Spectral Distribution Of Solar Radiation At The Earth'S Surface—Elements Of A Model,70,10.1016/0038-092x(78)90187-1,https://w3id.org/oc/meta/br/06601284284,author_title
b20,A method for continuous estimation of clear-sky downwelling longwave radiative flux developed using ARM surface measurements,A Method For Continuous Estimation Of Clear-Sky Downwelling Longwave Radiative Flux Developed Using ARM Surface Measurements,70,10.1029/2008jd009936,https://w3id.org/oc/meta/br/06220277989,author_title
b21,Evaluations of atmospheric downward longwave radiation from 44 coupled general circulation models of CMIP5,Evaluations Of Atmospheric Downward Longwave Radiation From 44 Coupled General Circulation Models Of CMIP5,70,10.1002/2013jd021427,https://w3id.org/oc/meta/br/06702346321,author_title
b23,Altitude dependence of surface radiation fluxes and cloud forcing in the alps: results from the alpine surface radiation budget network,Altitude Dependence Of Surface Radiation Fluxes And Cloud Forcing In The Alps: Results From The Alpine Surface Radiation Budget Network,70,10.1007/s007040200019,https://w3id.org/oc/meta/br/062202438575,author_title
