reference_id,DOI,http://prismstandard.org/namespaces/basic/2.0/publicationDate,http://purl.org/dc/terms/title,http://purl.org/spar/datacite/hasIdentifier,http://purl.org/spar/pro/isDocumentContextFor,http://purl.org/vocab/frbr/core#embodiment,http://purl.org/vocab/frbr/core#partOf,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,article_title,matched_title,score,matched_doi,meta_id,query_type
ref_12,10.1016/j.jde.2015.08.024,2015-12,A Stochastic SIRS Epidemic Model With Infectious Force Under Intervention Strategies,https://w3id.org/oc/meta/id/0670399875,https://w3id.org/oc/meta/ar/06701192771,https://w3id.org/oc/meta/re/0670208907,https://w3id.org/oc/meta/br/0670334327,http://purl.org/spar/fabio/JournalArticle,A stochastic SIRS epidemic model with infectious force under intervention strategies,A Stochastic SIRS Epidemic Model With Infectious Force Under Intervention Strategies,70,10.1016/j.jde.2015.08.024,https://w3id.org/oc/meta/br/0670333878,year_and_doi
ref_14,10.1016/j.physa.2017.11.137,2018-02,Stochastic Persistence And Stationary Distribution In An SIS Epidemic Model With Media Coverage,https://w3id.org/oc/meta/id/061405537301,https://w3id.org/oc/meta/ar/063013743395,https://w3id.org/oc/meta/re/06302351412,https://w3id.org/oc/meta/br/06303255670,http://purl.org/spar/fabio/JournalArticle,Stochastic persistence and stationary distribution in an SIS epidemic model with media coverage,Stochastic Persistence And Stationary Distribution In An SIS Epidemic Model With Media Coverage,70,10.1016/j.physa.2017.11.137,https://w3id.org/oc/meta/br/06303254744,year_and_doi
ref_15,10.1186/s13662-018-1925-z,2018-12,Global Threshold Dynamics Of A Stochastic Epidemic Model Incorporating Media Coverage,https://w3id.org/oc/meta/id/0676054166,https://w3id.org/oc/meta/ar/06240582901,,https://w3id.org/oc/meta/br/062201542,http://purl.org/spar/fabio/JournalArticle,Global threshold dynamics of a stochastic epidemic model incorporating media coverage,Global Threshold Dynamics Of A Stochastic Epidemic Model Incorporating Media Coverage,70,10.1186/s13662-018-1925-z,https://w3id.org/oc/meta/br/06240185687,year_and_doi
ref_16,10.1016/j.physa.2017.05.083,2017-11,A Stochastic SIS Epidemic Model With Vaccination,https://w3id.org/oc/meta/id/06860653271,https://w3id.org/oc/meta/ar/063013745939,https://w3id.org/oc/meta/re/06302352015,https://w3id.org/oc/meta/br/06303255676,http://purl.org/spar/fabio/JournalArticle,A stochastic SIS epidemic model with vaccination,A Stochastic SIS Epidemic Model With Vaccination,70,10.1016/j.physa.2017.05.083,https://w3id.org/oc/meta/br/06303255347,year_and_doi
ref_18,10.1016/j.aml.2019.01.015,2019-06,Global Transmission Dynamics Of A Zika Virus Model,https://w3id.org/oc/meta/id/06350990260,https://w3id.org/oc/meta/ar/062012157068,https://w3id.org/oc/meta/re/06202110875,https://w3id.org/oc/meta/br/06202867560,http://purl.org/spar/fabio/JournalArticle,Global transmission dynamics of a Zika virus model,Global Transmission Dynamics Of A Zika Virus Model,70,10.1016/j.aml.2019.01.015,https://w3id.org/oc/meta/br/06202867126,year_and_doi
ref_19,10.1016/j.aml.2019.02.027,2019-08,Nontrivial Periodic Solution Of A Stochastic Non-Autonomous Model With Biodegradation Of Microcystins,https://w3id.org/oc/meta/id/06480659917,https://w3id.org/oc/meta/ar/062012156944,https://w3id.org/oc/meta/re/06202110836,https://w3id.org/oc/meta/br/06202867558,http://purl.org/spar/fabio/JournalArticle,Nontrivial periodic solution of a stochastic non-autonomous model with biodegradation of microcystins,Nontrivial Periodic Solution Of A Stochastic Non-Autonomous Model With Biodegradation Of Microcystins,70,10.1016/j.aml.2019.02.027,https://w3id.org/oc/meta/br/06202867087,year_and_doi
ref_20,10.1016/j.aml.2018.07.020,2019-01,Stochastic Nicholson’s Blowflies Delayed Differential Equations,https://w3id.org/oc/meta/id/06350990379,https://w3id.org/oc/meta/ar/062012157632,https://w3id.org/oc/meta/re/06202111040,https://w3id.org/oc/meta/br/06202867565,http://purl.org/spar/fabio/JournalArticle,Stochastic Nicholson’s blowflies delayed differential equations,Stochastic Nicholson’s Blowflies Delayed Differential Equations,70,10.1016/j.aml.2018.07.020,https://w3id.org/oc/meta/br/06202867291,year_and_doi
ref_21,10.2307/5671,1996-11,Effects Of Habitat Patch Size And Isolation On Dispersal By Hesperia Comma Butterflies: Implications For Metapopulation Structure,https://w3id.org/oc/meta/id/06530653334,https://w3id.org/oc/meta/ar/06270262055,https://w3id.org/oc/meta/re/0627046382,https://w3id.org/oc/meta/br/061019647,http://purl.org/spar/fabio/JournalArticle,Effects of habitat patch size and isolation on dispersal by hesperia comma butterflies: implications for metapopulation structure,Effects Of Habitat Patch Size And Isolation On Dispersal By Hesperia Comma Butterflies: Implications For Metapopulation Structure,70,10.2307/5671,https://w3id.org/oc/meta/br/0627054334,year_and_doi
ref_22,10.1007/s00285-009-0325-0,2010-01-20,Impulsive Culling Of A Structured Population On Two Patches,https://w3id.org/oc/meta/id/06204198889,https://w3id.org/oc/meta/ar/061801553614,https://w3id.org/oc/meta/re/06180257316,https://w3id.org/oc/meta/br/06180406145,http://purl.org/spar/fabio/JournalArticle,Impulsive culling of a structured population on two patches,Impulsive Culling Of A Structured Population On Two Patches,70,10.1007/s00285-009-0325-0,https://w3id.org/oc/meta/br/06180405718,year_and_doi
ref_23,10.1016/j.nonrwa.2010.06.028,2011-02,Global Dynamics Of Nicholson-type Delay Systems With Applications,https://w3id.org/oc/meta/id/06680116761,https://w3id.org/oc/meta/ar/06903123269,https://w3id.org/oc/meta/re/0690559871,https://w3id.org/oc/meta/br/0690749587,http://purl.org/spar/fabio/JournalArticle,Global dynamics of Nicholson-type delay systems with applications,Global Dynamics Of Nicholson-type Delay Systems With Applications,70,10.1016/j.nonrwa.2010.06.028,https://w3id.org/oc/meta/br/0690748677,year_and_doi
ref_24,10.1137/s0036144500378302,2001-01,An Algorithmic Introduction To Numerical Simulation Of Stochastic Differential Equations,https://w3id.org/oc/meta/id/06680483686,https://w3id.org/oc/meta/ar/069012669828,https://w3id.org/oc/meta/re/06902330141,https://w3id.org/oc/meta/br/0624058357,http://purl.org/spar/fabio/JournalArticle,An algorithmic introduction to numerical simulation of stochastic differential equations,An Algorithmic Introduction To Numerical Simulation Of Stochastic Differential Equations,70,10.1137/s0036144500378302,https://w3id.org/oc/meta/br/06903086411,year_and_doi
